"cantidad","producto_id","descripcion"
-6,2285,TREBOL LECHE ENTERA ULTRA SACHET 1 L
-1,974,RED HORSE BLUEBERRY 2 LT
-2,2266,TRES LEONES HOROSCOPO CARRULIN 190 ML
-2,480,FANTA NARANJA LATA 350 ML
-2,2270,NADIR VASO VEGAS LONG DRINK 330 ML 2752
-1,2373,NEUGEBAUER CHOCOLATE  CACAU-AVELA 90 G
-22,891,BELDENT 10G MENTA
-3,575,ALFAJOR AGUILA COCO
-7,712,BALLANTINES 8 AÑOS 200ML
-4.794,1427,OCHSI CHORIZO PARRILLERO PICANTE 
-2,165,TEST PRODUCTO VALUE
-9,301,WATTS NECTAR DE MANZANA 200 ML
-87,1017,FODAC ESENCIA BUBBALOO 50G
-11,804,COCA COLA 1.5LT DESC.
-39,803,COCA COLA 1LT DESC.
-6,2103,WATTS NECTAR JUGO DURAZNO 1.5 LT
-8,1018,ZIGGY ESENCIA TUTTI FRUTI 50G
-1,312,GILLETTE PRESTOBARBA ULTRAGRIP
-3,99,QUINTA DO MORGADO TINTO SUAVE 750 ML
-2,1040,LACTA CHOCOLATE DIAMANTE NEGRO 90GR
-1,1624,FRAC GALLETITA CLASICA 130 G
-22,697,TRIDENT 8G MENTA
-53,764,EIGHT CONVERTIBLE 20
-16,794,CONTROL ADAPTA PEPPERMINT ECSTASY 3 UNID
-1,84,QUINTA DO MORGADO BORDO TINTO SUAVE 1 L
-3,1654,FREEGELLS EUCALIPTO/MENTHOL
-3,1544,NESCAFE TRADICION 50 G
-11,814,FANTA NARANJA 500ML
-27,890,HALLS EXTRA FORTE
-10,1857,NESTLE CHOCOLATE CRUNCH AMENDOIM 90 GR
-8,884,CONTROL ADAPTA XL 3 UNID
-70,916,HIELO CHICO
-58,1421,DON FRANCO PAN DE AJO 
-36,917,HIELO MEDIANO
-72,212,KAISER LATA 269ML
-21,681,HALLS MENTOL
-5,1114,ZOMO ESENCIA MY WATERMELON MINT 50 G
-3,2147,UPISA MORTADELA EN FETAS 200 GR
-1,942,YOGURT LACTOLANDA SACHET 1 LT VAINILLA
-2,1073,NISSIN CUP NOODLES GALINHA CAIPIRA 70G
-3,1718,ENVASE GASEOSA 1 L
-2,563,ARCOR SERRANITAS PACK FAMILIAR X3
-46,324,XERETA COLA 2 L
-3,1479,BOLSA PARA REGALO AH8408
-4,315,BAUDUCCO WAFER CHOCOLATE 140 G
-3,274,BAUDUCCO WAFER FRUTILLA 140G
-4,2140,UPISA JAMON COCIDO EN FETAS
-16,433,LUCKY STRIKE DOUBLE CLICK WILD 20
-11.082,1705,FRIMESA CHORIZO TOSCANO
-3,593,BAUDUCCO WAFER CHOCOLATE 78 G
-9,661,FRIMESA LECHE CONDENSADA 395G
-1,1477,NESTLE CHOCOLATE KIT KAT MINI 2 16.7 GR
-6,356,CONTROL ADAPTA RETARDANTE X 6 UNID
-2,205,HEINEKEN DRAUGHTKET 5L
-30,688,TOPLINE SEVEN 14.7G  ATOMIC STRONG
-142,395,ENCENDEDOR VARIOS
-2,1325,FREEGELLS MANDARINA 
-4,1132,DON FRANCO MBARETE KANGY PET 1L
-9.372,2166,OCHSI COMBO CHORIZO PARRILLERO
-3,275,NESTLE ESPECIALIDADES 251G ROJO
-6,49,CORONA LATA 269 ML
-3,1497,LACTA BIS CHOCOLATE BLANCO 126 G
-34,801,COCA COLA 250ML
-8.082,2308,OCHSI CHORIZO VIENA
-10,1403,PANTERA PRESERVATIVO ESTRIADO X 3 UNIDAD
-3,1749,PREDILECTA KETCHUP PICANTE 400 G
-41,763,EIGHT ROJO
-1,686,TOPLINE 6 UND 11G STRONG
-6,819,FANTA NARANJA 250ML
-11,1723,ENVASE CERVEZA 340 ML
-2,590,MONICA CARNE MIOJO
-4.168,1429,OCHI CHORIZO CON QUESO
-10,690,TOPLINE SEVEN ULTRA RED BERRY
-16,889,HALLS FRUTILLA
-2,589,MONICA TOMATE MIOJO
-2,1006,THE BLACK SHEEP 600 PUFF  MINT ICE (MENTA-HIELO)
-1,278,FREEGELLS LARANJA
-2,542,PREDILECTA KETCHUP TRADICIONAL 400G
-1,685,TOPLINE 6 UND 11G BLUEBERRY
-55,1128,ENVASE CERVEZA 1 LITRO 
-1,1778,FAROFA DE MANDIOCA S/ PICAÑA 500 G
-2,585,NISSIN LAMEN PICAÑA MIOJO
-3,545,SAVORA ORIGINAL 200G
-6,2218,ZOMO ESENCIA NESQUIK DE MORANGO 50 G
-1,302,WATTS NECTAR DE NARANJA 200 ML
-24,1353,CONTI GASEOSA COLA 3L
-8,2490,OREO MINI GALLETITA CACAO CON VAINILLA 50 G
-2,1724,ENVASE BIDON DE AGUA 20 L
-25,1205,HALLS UVA VERDE
-4,791,CONTROL ADAPTA SENSO 3 UNID
-15,1404,PANTERA PRESERVATIVO RETARDANTE X 3 UNIDAD
-2,2370,ARCOR HOGAREÑAS SALVADO X 3UNI 600G
-3,1719,ENVASE GASEOSA 1.5 L
-6,1037,LACTA CHOCOLATE LAKA BLANCO CON OREO 90GR
-8.170,1424,CHORTI PUNTA DE PECHO
-2,2281,BAUDUCCO WAFER CHOCOLATE CON AVELLANA 140 G
-1,1042,VITAL HONEY ORIGINAL AUTENTICA VIP 15G
-10,1174,TRIDENT MENTA 14 UND 
-15,1162,PANTERA PRESERVATIVO BANANA X 3 UNIDAD
-4,1400,PANTERA PRESERVATIVO NEON X 3 UNIDAD
-30,1104,BIS ORIGINAL 126G
-1,1337,NISSIN CUP NOODLES GALINHA PICANTE 68 G
-1,2567,CONTROL ADAPTA NATURE 6 UNID
-6.144,1428,OCHSI CHORIZO PARRILLERO
-4.442,1430,QUESO MUSARELA REBANADO 
-3.700,2151,PICANHA TAPA CUADRIL B
-2,2057,DELICIAS DE LA NONNA PEPAS MEMBRILLO 180 G
-41.420,1422,LIMON TAITI 
-2,586,NISSIN LAMEN BACON MIOJO
-4,2358,ARCOR BON O BON DARK 15G
-2,854,ADES SOJA DURAZNO 200ML
-2,936,YOGURT LACTOLANDA 350 ML VITAL LIGHT DURAZNO
-2,1401,PANTERA PRESERVATIVO CLASICO X 3 UNIDAD
-2,1187,NAIPES NAVETA PLAY CARTA ESPAÑOLA
-2,476,ANTARCTICA GUARANA LATA 269ML
-300,1693,COPAZA VASO PLASTICO 150 ML - 180 ML TRANSLUCIDO
-11,792,CONTROL ADAPTA XTRA LUBRE 3 UNID
-1,2477,FREEGELLS MIEL/MENTHOL
